字符    出现次数  Huffman编码

       16        10101     
        43        000       
"       4         1011110   
'       10        111010    
(       13        01000     
)       13        01001     
*       2         00111111  
+       5         1101111   
,       5         1111000   
.       9         110101    
/       1         110111010 
0       6         001100    
1       6         001101    
2       9         110110    
3       3         11110111  
4       2         10111110  
6       2         10111111  
8       2         11010000  
9       1         110111011 
:       2         11010001  
=       15        10001     
A       1         111101100 
_       8         101110    
a       35        1100      
b       2         11010010  
c       13        01010     
d       27        0110      
e       27        0111      
f       1         111101101 
g       1         00111110  
h       11        111110    
i       11        111111    
k       10        111011    
l       16        10110     
m       2         11010011  
n       14        10000     
o       13        01011     
p       19        11100     
r       24        0010      
s       30        1001      
t       15        10100     
u       6         001110    
v       5         1111001   
w       3         0011110   
x       2         11011100  
y       5         1111010   
